Pass Duration (minutes)  ,  Rise time above (10° elevation)
10.567,2017-08-11 22:06:19 +00:00
10.600,2017-08-11 23:42:50 +00:00
10.533,2017-08-12 01:19:42 +00:00
10.633,2017-08-12 02:56:17 +00:00
9.000,2017-08-12 04:33:06 +00:00
5.983,2017-08-12 19:40:52 +00:00
10.250,2017-08-12 21:14:21 +00:00
10.667,2017-08-12 22:50:29 +00:00
10.500,2017-08-13 00:27:22 +00:00
10.667,2017-08-13 02:04:03 +00:00
9.850,2017-08-13 03:40:40 +00:00
2.900,2017-08-13 05:19:35 +00:00
9.667,2017-08-13 20:22:35 +00:00
10.700,2017-08-13 21:58:13 +00:00
10.517,2017-08-13 23:35:01 +00:00
10.633,2017-08-14 01:11:47 +00:00
10.350,2017-08-14 02:48:20 +00:00
6.783,2017-08-14 04:25:48 +00:00
8.667,2017-08-14 19:31:06 +00:00
10.633,2017-08-14 21:06:02 +00:00
10.583,2017-08-14 22:42:39 +00:00
10.567,2017-08-15 00:19:30 +00:00
10.583,2017-08-15 01:56:04 +00:00
8.567,2017-08-15 03:33:00 +00:00
6.933,2017-08-15 18:40:03 +00:00
10.400,2017-08-15 20:14:00 +00:00
10.650,2017-08-15 21:50:17 +00:00
10.517,2017-08-15 23:27:11 +00:00
10.667,2017-08-16 01:03:50 +00:00
9.600,2017-08-16 02:40:30 +00:00
3.317,2017-08-16 17:50:01 +00:00
9.933,2017-08-16 19:22:09 +00:00
10.700,2017-08-16 20:57:59 +00:00
10.517,2017-08-16 22:34:50 +00:00
10.650,2017-08-17 00:11:35 +00:00
10.217,2017-08-17 01:48:08 +00:00
5.817,2017-08-17 03:25:56 +00:00
9.100,2017-08-17 18:30:34 +00:00
10.683,2017-08-17 20:05:46 +00:00
10.567,2017-08-17 21:42:28 +00:00
10.600,2017-08-17 23:19:18 +00:00
10.533,2017-08-18 00:55:51 +00:00
8.033,2017-08-18 02:32:56 +00:00
7.683,2017-08-18 17:39:20 +00:00
10.517,2017-08-18 19:13:41 +00:00
10.633,2017-08-18 20:50:06 +00:00
10.550,2017-08-18 22:27:00 +00:00
10.667,2017-08-19 00:03:37 +00:00
9.300,2017-08-19 01:40:21 +00:00
5.083,2017-08-19 16:48:46 +00:00
10.150,2017-08-19 18:21:46 +00:00
10.700,2017-08-19 19:57:47 +00:00
10.533,2017-08-19 21:34:40 +00:00
10.683,2017-08-19 23:11:22 +00:00
10.033,2017-08-20 00:47:57 +00:00
4.500,2017-08-20 02:26:14 +00:00
9.467,2017-08-20 17:30:05 +00:00
10.717,2017-08-20 19:05:32 +00:00
10.550,2017-08-20 20:42:18 +00:00
10.633,2017-08-20 22:19:06 +00:00
10.450,2017-08-20 23:55:39 +00:00
7.400,2017-08-21 01:32:55 +00:00
8.300,2017-08-21 16:38:42 +00:00
10.617,2017-08-21 18:13:24 +00:00
10.617,2017-08-21 19:49:56 +00:00
10.567,2017-08-21 21:26:49 +00:00
10.650,2017-08-21 23:03:24 +00:00
8.933,2017-08-22 00:40:14 +00:00
6.250,2017-08-22 15:47:50 +00:00
10.333,2017-08-22 17:21:25 +00:00
10.700,2017-08-22 18:57:36 +00:00
10.550,2017-08-22 20:34:29 +00:00
10.683,2017-08-22 22:11:09 +00:00
9.833,2017-08-22 23:47:47 +00:00
2.333,2017-08-23 01:26:58 +00:00
9.767,2017-08-23 16:29:38 +00:00
10.733,2017-08-23 18:05:19 +00:00
10.550,2017-08-23 19:42:08 +00:00
10.667,2017-08-23 21:18:54 +00:00
10.350,2017-08-23 22:55:27 +00:00
6.617,2017-08-24 00:32:59 +00:00
8.800,2017-08-24 15:38:08 +00:00
10.683,2017-08-24 17:13:08 +00:00
10.617,2017-08-24 18:49:46 +00:00
10.600,2017-08-24 20:26:37 +00:00
10.600,2017-08-24 22:03:11 +00:00
8.483,2017-08-24 23:40:09 +00:00
7.150,2017-08-25 14:47:03 +00:00
10.467,2017-08-25 16:21:06 +00:00
10.683,2017-08-25 17:57:25 +00:00
10.567,2017-08-25 19:34:19 +00:00
10.700,2017-08-25 21:10:57 +00:00
9.567,2017-08-25 22:47:38 +00:00
3.850,2017-08-26 13:56:51 +00:00
10.017,2017-08-26 15:29:14 +00:00
10.733,2017-08-26 17:05:07 +00:00
10.550,2017-08-26 18:41:58 +00:00
10.683,2017-08-26 20:18:42 +00:00
10.200,2017-08-26 21:55:16 +00:00
5.617,2017-08-26 23:33:09 +00:00
